Frequency,S33,S32,S23,S22
(3882000000+0j),(0.4120302796+0.6774579363j),(0.005285874009+0.001301578246j),(0.005357746966+0.001538313576j),(0.142983079-0.0824794011j)
(3883000000+0j),(0.4606077075+0.6493994253j),(0.005331089254+0.0008056492661j),(0.005449045915+0.001027871156j),(0.1460161507-0.09747670623j)
(3884000000+0j),(0.5060884953+0.6182741385j),(0.005348220933+0.0004735556431j),(0.005526301451+0.0006238201167j),(0.1470947713-0.1132220293j)
(3885000000+0j),(0.5496816039+0.5836190916j),(0.005420979112+8.887079275e-06j),(0.005599445198+0.0002081634739j),(0.1463321596-0.1294103403j)
(3886000000+0j),(0.5898612738+0.5462638141j),(0.005433491897-0.0004484712845j),(0.005538522732-0.0002686223015j),(0.1437109262-0.1457582887j)
(3887000000+0j),(0.6275557876+0.505933888j),(0.005353162996-0.0009175839368j),(0.005542667117-0.0006793487701j),(0.1392706931-0.1619453756j)
(3888000000+0j),(0.6615385413+0.4632527691j),(0.005339570809-0.001298809191j),(0.005496754311-0.001155885402j),(0.1328715235-0.1781506808j)
(3889000000+0j),(0.6929191351+0.4169863461j),(0.005199516192-0.001756115351j),(0.005435246974-0.001524235122j),(0.1244623438-0.1941086163j)
(3890000000+0j),(0.7207999229+0.3691881816j),(0.005016797222-0.00216104649j),(0.005231691524-0.002052258933j),(0.1142444909-0.2091826133j)
(3891000000+0j),(0.7443972826+0.3195673268j),(0.004781227093-0.002626061672j),(0.005126996431-0.002456460847j),(0.1020599082-0.2236685575j)
(3892000000+0j),(0.7644526958+0.2682793882j),(0.004686451983-0.002999112708j),(0.00494550867-0.002819454297j),(0.08803271502-0.2368465959j)
(3893000000+0j),(0.7811096311+0.214129695j),(0.004416214768-0.00335791707j),(0.004664085805-0.003313707188j),(0.07252931595-0.2487027757j)
(3894000000+0j),(0.7932881713+0.1598498452j),(0.004154577851-0.003696730128j),(0.004489932209-0.003672960447j),(0.05532831699-0.2591658997j)
(3895000000+0j),(0.8015711308+0.103743864j),(0.003908823244-0.004107502289j),(0.004146977793-0.004102663603j),(0.03720642254-0.2679065797j)
(3896000000+0j),(0.8054198027+0.04665016489j),(0.003589710454-0.004345108755j),(0.003774922807-0.004423631821j),(0.0178727489-0.2747162147j)
(3897000000+0j),(0.8048315644-0.01081009515j),(0.003352282569-0.004736123607j),(0.003509027185-0.004717347678j),(-0.002268362558-0.2797969384j)
(3898000000+0j),(0.7997098565-0.06880118037j),(0.002880327404-0.005048406776j),(0.003074279288-0.005049911793j),(-0.02326055802-0.2828976037j)
(3899000000+0j),(0.7898488045-0.1275503954j),(0.002543014707-0.005294967443j),(0.002714144066-0.005254104733j),(-0.04477924481-0.2836982237j)
(3900000000+0j),(0.7750655413-0.1850476138j),(0.002158278367-0.005564022344j),(0.002330600051-0.00557605736j),(-0.06642954051-0.2822382076j)
