Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(4036000000+0j),(0.7370833158+0.1721567973j),(0.0001425777155+0.0001524233812j),(0.0001324332552+0.0002319352061j),(0.2781583965-0.0294453445j)
(4037000000+0j),(0.7451742887+0.1216115011j),(0.0001410254772+0.0001843032951j),(6.567320816e-05+0.0001993641345j),(0.2804447711-0.05025427001j)
(4038000000+0j),(0.7494852543+0.06990441444j),(0.0002170428343+0.0001677312102j),(0.0001582864788+0.000167626873j),(0.2805298269-0.07154396187j)
(4039000000+0j),(0.7498487234+0.01777522251j),(0.0002316547761+0.0001986243878j),(0.0001868616819+0.0001635794324j),(0.278548032-0.09312291503j)
(4040000000+0j),(0.7459017634-0.03400372544j),(0.0002226670622+0.0001316511334j),(0.0001527411514+0.0001573592745j),(0.2742544413-0.1144557272j)
(4041000000+0j),(0.7379313111-0.08573769548j),(0.0001988167205+0.0001029729101j),(0.0001942870731+0.0001520436053j),(0.2677001059-0.1355186225j)
(4042000000+0j),(0.7257276773-0.1379412894j),(0.0002208657097+0.0001257186086j),(0.0002436851792+0.0001501607039j),(0.2591998577-0.1556892103j)
(4043000000+0j),(0.7093715072-0.1889029776j),(0.0002160397271+6.646918337e-05j),(0.0002451265464+8.953962242e-05j),(0.2488366663-0.175100641j)
(4044000000+0j),(0.6886744499-0.239202275j),(0.0002450128377-1.579433956e-05j),(0.0002525410964+6.279534864e-05j),(0.2365527749-0.1937366967j)
(4045000000+0j),(0.6633780599-0.2885386574j),(0.0002543622104+9.719563241e-05j),(0.0002832523314+2.216093344e-05j),(0.2222006172-0.2111382858j)
(4046000000+0j),(0.6338368058-0.3361768727j),(0.0002258037421-2.388565372e-05j),(0.0002792107116+2.389766451e-05j),(0.2061033696-0.2269463032j)
(4047000000+0j),(0.5999896526-0.381300172j),(0.0002552401565-6.754443166e-05j),(0.0002865854185+5.683603831e-06j),(0.1885422617-0.2410323656j)
(4048000000+0j),(0.5616824627-0.4242495895j),(0.0002727306564-8.781741053e-05j),(0.0002721609198-4.400804391e-05j),(0.1696183532-0.2532029572j)
(4049000000+0j),(0.519525528-0.4641417261j),(0.0002273075079-6.417888653e-05j),(0.000230699603-6.196412869e-05j),(0.1495556235-0.2633628608j)
(4050000000+0j),(0.4733881354-0.5005558558j),(0.0002701808407-0.0001561109384j),(0.0002262839989-8.449217421e-05j),(0.1288892925-0.2712466932j)
(4051000000+0j),(0.4233931303-0.5333373415j),(0.0001687538606-6.121073966e-05j),(0.0002290066477-0.0001595115609j),(0.1076058-0.2770506537j)
(4052000000+0j),(0.3697341084-0.5617768841j),(0.0002043972054-0.0002021164692j),(0.0002348848211-0.0001353924017j),(0.08606699109-0.2805000212j)
(4053000000+0j),(0.3127060831-0.5856600431j),(0.0002063478751-0.0001126916904j),(0.0001837110904-0.0002085032174j),(0.0644935146-0.2817198214j)
(4054000000+0j),(0.2530860901-0.6043140736j),(0.0002177988354-0.0002013437916j),(0.0001310846856-0.0001837009768j),(0.04339527339-0.2806272249j)
(4055000000+0j),(0.1909935772-0.6174934091j),(0.000152873341-0.000292046956j),(0.0002154351241-0.0001471471769j),(0.02268889546-0.2776002905j)
(4056000000+0j),(0.1270060688-0.6246940398j),(0.00017900487-0.000284153386j),(0.0001074810643-0.000215372449j),(0.002688251436-0.2726340694j)
(4057000000+0j),(0.06182732433-0.6257207153j),(5.484842768e-05-0.0002455047506j),(0.0001011150525-0.0002245859359j),(-0.01643107459-0.2656154577j)
(4058000000+0j),(-0.004076709505-0.6200101591j),(2.591666635e-05-0.0002243273193j),(4.373041884e-05-0.0002730258566j),(-0.03437531739-0.2567446474j)
(4059000000+0j),(-0.06991290301-0.6077382002j),(-1.430978045e-05-0.0002481154515j),(2.170159496e-05-0.0002316017053j),(-0.05110093579-0.246169353j)
(4060000000+0j),(-0.1347728521-0.5886256193j),(-4.053453085e-05-0.0002270376863j),(3.638416456e-05-0.000266869145j),(-0.06624533236-0.2340716671j)
(4061000000+0j),(-0.1978361607-0.5627651013j),(-5.055378278e-05-0.0002253489802j),(-1.364360924e-05-0.0002275650913j),(-0.0795494765-0.220658316j)
(4062000000+0j),(-0.258454293-0.5301599527j),(-8.666842768e-05-0.0002794706379j),(-1.997905565e-05-0.0002661578183j),(-0.09105747938-0.2060721431j)
(4063000000+0j),(-0.3161675334-0.4909674706j),(-3.303572885e-05-0.0002197344584j),(-9.256126941e-05-0.0002248920937j),(-0.1006042287-0.1906946702j)
(4064000000+0j),(-0.3694208562-0.4458918674j),(-0.000152340057-0.0002494115033j),(-0.0001006587045-0.0001843381178j),(-0.1079502106-0.1746777655j)
(4065000000+0j),(-0.4177366197-0.3951282265j),(-0.0001464286033-0.00017337178j),(-0.0001094849576-0.000187032696j),(-0.1133674011-0.1584005894j)
(4066000000+0j),(-0.4607180953-0.3395459081j),(-0.0002321197098-0.0002082573046j),(-0.0001439374173-0.0001658213587j),(-0.1167488545-0.1419252307j)
(4067000000+0j),(-0.49747774-0.279592098j),(-0.0002199832961-0.0001189035029j),(-0.0001955187472-0.0001555637718j),(-0.1179344058-0.1255523469j)
(4068000000+0j),(-0.5277789235-0.2157149286j),(-0.0002220738097-0.0001247542532j),(-0.0001981010282-0.0001046981997j),(-0.1169407815-0.1096091201j)
(4069000000+0j),(-0.5509440899-0.1494982311j),(-0.0002350750874-0.0001223185973j),(-0.0001819647005-0.0001008110703j),(-0.1138109267-0.09445873477j)
(4070000000+0j),(-0.5670012832-0.08154759907j),(-0.0002432107576+6.870415291e-06j),(-0.0002151099034-0.0001649553597j),(-0.1087760925-0.08026688538j)
(4071000000+0j),(-0.5756658912-0.01206031865j),(-0.0002276248561-7.407745579e-05j),(-0.000248675613-3.230696166e-05j),(-0.1019101664-0.06747377952j)
(4072000000+0j),(-0.5770225525+0.05737944663j),(-0.0002225298667-3.951653343e-05j),(-0.0002299774351-3.196746775e-06j),(-0.09384019673-0.05614923562j)
(4073000000+0j),(-0.571066916+0.126037325j),(-0.0001751811797+6.474402653e-06j),(-0.0002479477262-4.463037112e-05j),(-0.08425431699-0.04616529174j)
(4074000000+0j),(-0.5583181381+0.1932338711j),(-0.0002369250142+4.474232628e-05j),(-0.0002121452999+7.368647402e-06j),(-0.07333367318-0.03806185449j)
(4075000000+0j),(-0.5390387774+0.2575632423j),(-0.0001833899441+3.019426549e-05j),(-0.000227625831+1.519971283e-05j),(-0.06166287512-0.03208772589j)
(4076000000+0j),(-0.5133760571+0.3194388827j),(-0.0002748842235+0.0001095961416j),(-0.0002167513157+5.805641194e-05j),(-0.04948875308-0.02820981377j)
(4077000000+0j),(-0.4819723964+0.3777075448j),(-0.0001772992837+7.4902302e-05j),(-0.0001670552156+6.54172909e-05j),(-0.03696219996-0.0263869735j)
(4078000000+0j),(-0.4455530643+0.4318145306j),(-0.0001526755368+2.127919743e-06j),(-0.0001997729269+0.0001095840926j),(-0.02454854548-0.02673701412j)
(4079000000+0j),(-0.4040816724+0.481749587j),(-0.0001516881021+8.073024219e-05j),(-0.0001429312833+0.0001086410848j),(-0.01237361226-0.02922401537j)
(4080000000+0j),(-0.3588485122+0.5266598182j),(-9.022791346e-05+0.0001300459553j),(-0.0001493875316+0.0001082327872j),(-0.0009120103787-0.03379651698j)
(4081000000+0j),(-0.3103055954+0.5664366718j),(-0.0001273622765+0.0001333589462j),(-0.0001367919758+0.0001349730592j),(0.009583051316-0.04013818408j)
(4082000000+0j),(-0.259264946+0.6007867839j),(-0.0001218522302+0.0001061833827j),(-0.0001623726275+0.0001286801999j),(0.01891609654-0.04822302533j)
(4083000000+0j),(-0.2056599259+0.6297435423j),(-7.19827076e-05+0.0001080995207j),(-0.0001097922068+0.0001370761165j),(0.0269763805-0.05777377852j)
(4084000000+0j),(-0.1503662169+0.6535261708j),(-3.102383198e-05+0.0001574202179j),(-5.802666419e-05+0.0001424966031j),(0.03359321132-0.06886347266j)
(4085000000+0j),(-0.09434630722+0.6720118013j),(-8.421434904e-05+9.396037058e-05j),(-4.60843039e-05+0.00013254027j),(0.03837960958-0.08117705075j)
(4086000000+0j),(-0.03757617995+0.6852427965j),(-8.976223762e-05+0.0001445175731j),(-7.883018407e-05+0.0001337612484j),(0.04132913798-0.09456944143j)
(4087000000+0j),(0.01933756098+0.693247339j),(-1.684286144e-05+0.000150705484j),(-4.592448386e-05+0.000157894101j),(0.04204047844-0.108467286j)
(4088000000+0j),(0.07602825016+0.6962244316j),(-4.896786777e-05+0.00021038267j),(-2.617387509e-06+9.910631343e-05j),(0.04065424949-0.1227808116j)
(4089000000+0j),(0.1318431348+0.694551787j),(2.365687396e-05+0.0001759346778j),(-5.367727863e-05+0.0001141082394j),(0.03712990507-0.1370748383j)
(4090000000+0j),(0.1869916022+0.6880773398j),(2.956580283e-05+0.0001489949645j),(-2.611361924e-05+0.0001017518953j),(0.03151218966-0.1511388096j)
(4091000000+0j),(0.2403430492+0.6772558597j),(-1.060998966e-05+0.000205419492j),(-5.645313649e-05+0.0001529359579j),(0.02372724563-0.1647948142j)
(4092000000+0j),(0.2921426594+0.6624451615j),(-2.893483907e-05+5.973959924e-05j),(-9.53509516e-06+0.0001110289304j),(0.01393308584-0.1774991989j)
(4093000000+0j),(0.34233585+0.6433922452j),(5.965088712e-05+0.0001684977906j),(6.275928899e-05+0.0001646209421j),(0.002312934725-0.1890914984j)
(4094000000+0j),(0.3899940848+0.6207290563j),(-1.377386297e-06+0.0001734524558j),(3.265991472e-05+0.0001405545481j),(-0.01084305253-0.1993569076j)
(4095000000+0j),(0.435280174+0.5947221251j),(2.163684621e-05+0.0001269726054j),(-2.43791618e-07+0.0001154814381j),(-0.02550193109-0.2081368079j)
(4096000000+0j),(0.4784741998+0.5652664294j),(-5.002095804e-06+0.0001785076747j),(-2.056719495e-05+0.0001212669231j),(-0.04134007916-0.2154677815j)
(4097000000+0j),(0.5188670754+0.5326534569j),(6.538229354e-05+7.888657274e-05j),(5.324782251e-06+0.0001092186649j),(-0.05818785354-0.2210006948j)
(4098000000+0j),(0.5564295053+0.497344403j),(6.16863399e-05+0.0001940511283j),(8.126269677e-05+0.0001154702768j),(-0.07591049373-0.224721814j)
(4099000000+0j),(0.5902761221+0.459759043j),(5.063519347e-05+9.527472139e-05j),(-5.66063818e-06+0.0001535026531j),(-0.09429971874-0.2267593519j)
(4100000000+0j),(0.6213092208+0.419671873j),(0.0001041059659+0.000128581567j),(3.132100574e-06+0.0001214884614j),(-0.1132211834-0.2268544353j)
(4101000000+0j),(0.6489756107+0.3777197833j),(2.310800119e-05+0.0001737678831j),(4.090340008e-05+0.0001913155575j),(-0.1324597597-0.2249848649j)
(4102000000+0j),(0.6736375093+0.3333098223j),(0.0001386926742+0.0001002568024j),(8.318298205e-05+6.727254367e-05j),(-0.1517125517-0.2209053617j)
(4103000000+0j),(0.6943794489+0.2877566085j),(0.0001001406054+0.0001170360702j),(8.975642413e-05+7.647655002e-05j),(-0.1706418842-0.2148746588j)
(4104000000+0j),(0.711885035+0.2405933209j),(6.187313556e-05+9.848118498e-05j),(0.0001084431642+8.135790995e-05j),(-0.1892272085-0.2068933638j)
